State,LGA,Ward,PU-Code,,,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,ENUGU EAST,UMUENWENE,14-03-03-010,,,UGBO EMMA I,314,1149,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,301,2,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39273/result_157047_1677537797_thumb.jpg
ENUGU,ENUGU EAST,UMUENWENE,14-03-03-011,,,UGBO EMMA II,120,1733,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39274/result_157048_1677537910_thumb.jpg
ENUGU,ENUGU EAST,MBULUIYIUKWU,14-03-05-009,,,C.P.S. OGBEKE  NIKE II,72,509,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,116,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39293/result_157100_1677517852_thumb.jpg
ENUGU,ENUGU EAST,MBULU-NJODO WEST,14-03-07-001,,,TOWN SCHOOL EMENE I,165,668,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,154,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39312/result_157123_1677547810_thumb.jpg
ENUGU,ENUGU EAST,TRANS-EKULU,14-03-09-006,,,OPEN SQUARE ALONG UMUDIOKA I,273,954,TRUE,0,TRUE,FALSE,FALSE,FALSE,TRUE,1,267,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39353/result_157203_1677521025_thumb.jpg
ENUGU,ENUGU EAST,TRANS-EKULU,14-03-09-024,,,UGBO ODOGWU PRIMARY SCHOOL IV,286,1055,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,283,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39371/result_157221_1677525820_thumb.jpg
ENUGU,ENUGU EAST,TRANS-EKULU,14-03-09-026,,,SCHOOL OF DENTAL TECH. I,623,2875,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,614,1,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39373/result_157223_1677526553_thumb.jpg
ENUGU,ENUGU EAST,MBULU-NJODO EAST,14-03-12-017,,,UGWUOMU NIKE I,118,691,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,109,5,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/39412/result_157293_1677582720_thumb.jpg
ENUGU,ENUGU NORTH,ASATA TOWNSHIP,14-04-01-003,,,UDI ROAD PRIMARY SCHOOL III,119,441,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,116,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20532/pu/39431/39431-1677573913.pdf
ENUGU,ENUGU NORTH,ASATA TOWNSHIP,14-04-01-005,,,UDI ROAD PRIMARY SCHOOL V,155,758,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,122,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20532/pu/39433/39433-1677621212.pdf
ENUGU,ENUGU NORTH,ASATA TOWNSHIP,14-04-01-008,,,ASATA PRIMARY SCHOOL V,182,856,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,1,173,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20532/pu/39436/39436-1677510267.pdf
ENUGU,ENUGU NORTH,ASATA TOWNSHIP,14-04-01-015,,,ASATA PRIMARY SCHOOL I,167,890,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,161,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20532/pu/39443/39443-1677512636.pdf
ENUGU,ENUGU NORTH,UMUNEVO,14-04-02-005,,,AFIA NINE V/SQUARE V,174,946,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,0,175,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20533/pu/39452/39452-1677511160.pdf
ENUGU,ENUGU NORTH,UMUNEVO,14-04-02-007,,,AFIA NINE V/SQUARE VII,154,819,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/02/pu/007/007-1677402767.pdf
ENUGU,ENUGU NORTH,ONU-ASATA,14-04-04-004,,,OGUI NIKE PRIMARY SCHOOL (ST. LUKE'S) IV,162,848,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/04/pu/004/004-1677386115.pdf
ENUGU,ENUGU NORTH,OGBETTE EAST,14-04-05-001,,,COLLIERY PLAY GROUND I,36,209,TRUE,0,TRUE,TRUE,FALSE,FALSE,FALSE,2,28,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20536/pu/39481/39481-1677504858.pdf
ENUGU,ENUGU NORTH,OGBETTE EAST,14-04-05-005,,,ST. PETER'S PRIMARY SCHOOL II,99,615,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20536/pu/39485/39485-1677509145.pdf
ENUGU,ENUGU NORTH,OGBETTE WEST,14-04-06-006,,,BROADRICK PRIMARY SCHOOL VI,150,771,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,148,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20537/pu/39506/39506-1677506975.pdf
ENUGU,ENUGU NORTH,G.R.A,14-04-07-002,,,EKULU PRIMARY SCHOOL II,99,503,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20538/pu/39524/39524-1677607729.pdf
ENUGU,ENUGU NORTH,G.R.A,14-04-07-009,,,POLO   PARK V,228,1441,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,2,223,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20538/pu/39531/39531-1677582850.pdf
ENUGU,ENUGU NORTH,G.R.A,14-04-07-010,,,POLO   PARK VI,202,1278,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,199,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20538/pu/39532/39532-1677582980.pdf
ENUGU,ENUGU NORTH,G.R.A,14-04-07-016,,,EKULU PRIMARY SCHOOL II,116,721,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,113,13,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20538/pu/39538/39538-1677608280.pdf
ENUGU,ENUGU NORTH,OGUI NEW LAYOUT,14-04-08-008,,,QUEEN'S SCHOOL III,190,961,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,185,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20539/pu/39548/39548-1677584113.pdf
